,1968,1975,1982,1990,1999
Ensemble,12063,13176,14119,15391,16097
sans enfant,5302,5836,6508,7900,8679
avec enfants,6760,7340,7610,7491,7418
1 enfant,2723,3110,3303,3281,3317
2 enfants,2052,2374,2734,2756,2772
3 enfants,1063,1088,1081,1063,1008
4 enfants,481,427,310,259,230
5 enfantsouplus,441,342,183,132,91
Nombre total d'enfants,14569,14826,14294,13748,13308
